Datetime,T_out,WindD,Rain,SetTemp,MeanT,Spa,MeanRH,MeanC,magI,WindDs,WindDc,Win_AFT,Win_AFB,Win_ARoof,Win_Akip,Win_BFT,Win_BFB,Win_Broof,Win_BKip,Vfloor_A,Vfloor_B,dayE,dayW,hourS,hourC,group,WindDC_E,WindDC_P,WindDC_W
2020-03-11 14:10:00,9.064,287.7182589590994,0.0,19.5,18.8525276126128,3.64,48.7605,372.63221530277,10.1851278996535,-0.9525645439429309,-0.30433663864674,1.0724657236711523,0.0,3.3985109814872745,0.0,1.9116273163794262,0.0,4.464215615716348,10.739964298377407,5083.5779999999995,4757.869000000001,14.006944444444402,28.0069444444444,-0.5,-0.8660254037844392,1.0,0,0,1
2020-03-11 14:40:00,8.94,287.2433936242153,0.0,19.5,18.888806797416,3.95486405168041,50.2935,382.99422452100197,9.37250723539984,-0.9550541302446272,-0.29643145633127305,1.5086119563941816,0.0,3.4795153935617553,0.8611988470836752,1.905996722713371,0.0,5.267549117389922,12.012216213684217,4647.903,4117.491,14.0277777777778,28.0277777777778,-0.5,-0.8660254037844392,1.0,0,0,1
2020-03-11 16:00:00,9.021,307.1449743082437,0.0,19.5,18.9543518887395,5.279,46.251999999999995,417.378958206961,7.544014040131179,-0.797110195195943,-0.6038338651605141,1.1477929626688943,0.0,3.760537324064822,3.7838367790663394,2.235566901510896,0.0,5.060630861364322,12.267067375037165,5189.170999999999,4521.775,14.083333333333302,28.0833333333333,-0.8660254037844379,-0.5,1.0,0,0,1
2020-03-11 16:10:00,9.035,303.2706021064374,0.0,19.5,18.8646,6.57,47.3465,407.37971270288597,7.235794706162441,-0.836088949475362,-0.548593901319715,1.3315634693430167,0.0,3.379609817924373,1.5054931603382087,1.9735355541912625,0.0,4.552853393519683,11.17716365522965,5024.781,4387.952,14.0902777777778,28.0902777777778,-0.8660254037844379,-0.5,1.0,0,0,1
2020-03-11 16:20:00,9.052,306.66541670631375,0.0,19.5,18.7707784954039,5.318,45.9775,389.470645840945,7.92795939805742,-0.8021362201304241,-0.5971410925023289,1.3470531423976013,0.0,3.010745620810839,1.1308629691913437,1.9735355541912625,0.0,4.859590357128041,11.502228489802716,5315.078,4620.897,14.0972222222222,28.0972222222222,-0.8660254037844379,-0.5,1.0,0,0,1
2020-03-11 16:30:00,8.958,298.50910069633636,0.0,19.5,18.8792,5.681,47.4605,391.951823090831,7.546476420060309,-0.8787413110553279,-0.477298343014894,1.1727661043122928,0.0,3.319471110263558,0.0,1.9735355541912625,0.0,4.460230107883611,10.870576468460031,4088.986,3679.768,14.104166666666698,28.1041666666667,-0.8660254037844379,-0.5,1.0,0,0,1
2020-03-11 16:40:00,8.821,300.80193340924916,0.0,19.5,18.9014134258645,4.97742947818167,46.498999999999995,398.443889255441,7.1335455662583,-0.8589426178843,-0.51207184962861,2.3076279262669495,0.0,4.856414647482983,6.703019874927008,2.445350382521138,0.0,5.577586384403141,14.638766229105602,5562.119000000001,4630.891,14.1111111111111,28.111111111111104,-0.8660254037844379,-0.5,1.0,0,0,1
2020-03-11 16:50:00,8.777000000000001,299.8144846289267,0.0,19.5,18.7099,4.723,47.827,392.595213572741,8.637355463943269,-0.8676397884040942,-0.49719332012618495,1.3655622569691286,0.0,3.6190985894564784,0.0,1.9735355541912625,0.0,4.873085934694825,11.556706089740652,4121.376,3671.579,14.118055555555598,28.1180555555556,-0.8660254037844379,-0.5,1.0,0,0,1
2020-03-11 17:00:00,8.624,302.05921169197035,0.0,19.5,18.728132547939,5.1560000000000095,48.0025,391.97079097212196,9.20224281975841,-0.8475000041736971,-0.530795387061327,0.8204566494864393,0.0,2.9698174227329557,0.0,1.9735355541912625,0.0,4.467403911976057,10.81756270626136,4804.495,4416.956,14.125,28.125,-0.965925826289068,-0.258819045102522,1.0,0,0,1
2020-03-12 03:10:00,7.5796,327.06162514039954,0.0,19.5,18.53605,4.5760000000000005,58.5655,464.247969300702,5.82155688803854,-0.5437366783012479,-0.8392558755647321,1.6184912249835146,0.0,3.1979099168682112,0.0,1.8947342668599705,0.0,4.1788750169170195,10.125696633490996,6292.79,5765.4619999999995,14.5486111111111,28.548611111111104,0.707106781186547,0.707106781186548,1.0,0,0,1
2020-03-12 03:30:00,7.2737,330.5987178891031,0.0,19.5,18.5057,4.79,58.35,452.669750236354,5.705323478188241,-0.490923248692931,-0.871202825921024,0.951249851030928,0.0,3.6241168151795042,0.0,1.8947342668599705,0.0,4.380488074206719,10.438149825500858,5500.741,4666.856,14.5625,28.5625,0.707106781186547,0.707106781186548,1.0,0,1,0
2020-03-12 05:30:00,7.0076,331.5735025076104,0.0,19.5,18.6730084064249,4.784,58.083,457.94384834340303,6.324180042827559,-0.47603096793667204,-0.8794285175983749,1.3417642357261244,0.0,3.5217070370888095,0.0,1.900365705790066,0.0,4.7237346786982055,12.03102121701851,6417.87,5856.105,14.645833333333302,28.6458333333333,0.965925826289068,0.258819045102521,1.0,0,1,0
2020-03-12 05:40:00,7.0945,328.07241449905337,0.0,19.5,18.5341378022895,3.9978666406813903,58.578,431.14891496374,6.683473628116291,-0.5288470175158251,-0.8487171684752328,1.723531686114947,0.0,3.4139919356690362,0.0,1.900365705790066,0.0,4.726119757274626,11.689073109536789,6195.076,5962.225,14.6527777777778,28.6527777777778,0.965925826289068,0.258819045102521,1.0,0,0,1
